Parent,uniCode,Tag,Name,num_childs,SizeLOC,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_Code_Blocks
Root,93-0-0-0,C,backend.commands.cluster.c,7,1123,6,123,51,67,56,0,5,46,51,"[2578, 2587, 2595, 2601, 2604, 2614]"
93-0-0-0,93-1-0-0,F,cluster,1,142,1,8,11,5,3,0,2,9,11,[2578]
93-1-0-0,93-1-2578-1,B,if-else/switch,15,142,2,8,11,5,3,0,2,9,11,"[2579, 2584]"
93-1-2578-1,93-1-2579-1,D,Assignment,2,1,0,2,1,1,1,0,0,1,1,[]
93-1-2578-1,93-1-2579-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
93-1-2578-1,93-1-2579-3,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
93-1-2578-1,93-1-2579-4,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
93-1-2578-1,93-1-2579-5,B,if-else/switch,4,46,2,2,1,2,0,0,0,1,1,"[2580, 2583]"
93-1-2579-5,93-1-2580-1,L,for/while,5,20,1,3,3,1,2,0,0,3,3,[2581]
93-1-2580-1,93-1-2581-1,D,Assignment,2,3,0,1,1,0,1,0,0,1,1,[]
93-1-2580-1,93-1-2581-2,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
93-1-2580-1,93-1-2581-3,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
93-1-2580-1,93-1-2581-4,B,if,1,5,1,0,1,0,0,0,0,1,1,[2582]
93-1-2581-4,93-1-2582-1,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
93-1-2580-1,93-1-2581-5,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
93-1-2579-5,93-1-2580-2,B,if,0,5,0,0,0,0,0,0,0,0,0,[]
93-1-2579-5,93-1-2583-1,D,Assignment,1,2,0,2,1,2,0,0,0,1,1,[]
93-1-2579-5,93-1-2583-2,B,if,0,5,0,0,0,0,0,0,0,0,0,[]
93-1-2578-1,93-1-2579-6,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
93-1-2578-1,93-1-2579-7,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
93-1-2578-1,93-1-2579-8,D,Assignment,1,1,0,2,1,2,0,0,1,0,1,[]
93-1-2578-1,93-1-2584-1,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
93-1-2578-1,93-1-2584-2,D,Assignment,2,5,0,2,0,1,1,0,0,0,0,[]
93-1-2578-1,93-1-2584-3,D,Assignment,2,1,0,1,1,0,1,0,1,0,1,[]
93-1-2578-1,93-1-2584-4,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
93-1-2578-1,93-1-2584-5,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
93-1-2578-1,93-1-2584-6,L,for/while,6,12,1,4,6,3,1,0,1,5,6,[2585]
93-1-2584-6,93-1-2585-1,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
93-1-2584-6,93-1-2585-2,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
93-1-2584-6,93-1-2585-3,D,Assignment,1,1,0,0,2,0,0,0,0,2,2,[]
93-1-2584-6,93-1-2585-4,D,Assignment,1,1,0,2,1,2,0,0,1,0,1,[]
93-1-2584-6,93-1-2585-5,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
93-1-2584-6,93-1-2585-6,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
93-1-2578-1,93-1-2584-7,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
93-0-0-0,93-2-0-0,F,cluster_rel,6,93,1,17,11,13,4,0,1,10,11,[2587]
93-2-0-0,93-2-2587-1,D,Assignment,2,1,0,2,1,1,1,0,0,1,1,[]
93-2-0-0,93-2-2587-2,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
93-2-0-0,93-2-2587-3,B,if,8,58,1,8,8,6,2,0,0,8,8,[2588]
93-2-2587-3,93-2-2588-1,B,if,1,5,1,1,1,1,0,0,0,1,1,[2589]
93-2-2588-1,93-2-2589-1,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
93-2-2587-3,93-2-2588-2,B,if,1,5,1,1,1,1,0,0,0,1,1,[2590]
93-2-2588-2,93-2-2590-1,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
93-2-2587-3,93-2-2588-3,B,if,1,7,1,1,1,1,0,0,0,1,1,[2591]
93-2-2588-3,93-2-2591-1,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
93-2-2587-3,93-2-2588-4,D,Assignment,2,3,0,1,1,0,1,0,0,1,1,[]
93-2-2587-3,93-2-2588-5,B,if,1,5,1,1,1,1,0,0,0,1,1,[2592]
93-2-2588-5,93-2-2592-1,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
93-2-2587-3,93-2-2588-6,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
93-2-2587-3,93-2-2588-7,B,if,2,6,1,1,2,1,0,0,0,2,2,[2593]
93-2-2588-7,93-2-2593-1,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
93-2-2588-7,93-2-2593-2,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
93-2-2587-3,93-2-2588-8,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
93-2-0-0,93-2-2587-4,D,Assignment,3,1,0,3,0,2,1,0,0,0,0,[]
93-2-0-0,93-2-2587-5,D,Assignment,2,4,0,2,1,2,0,0,0,1,1,[]
93-2-0-0,93-2-2587-6,D,Assignment,1,1,0,2,1,2,0,0,1,0,1,[]
93-0-0-0,93-3-0-0,F,mark_index_clustered,3,66,1,13,8,5,8,0,0,8,8,[2595]
93-3-0-0,93-3-2595-1,B,if,5,17,1,3,3,1,2,0,0,3,3,[2596]
93-3-2595-1,93-3-2596-1,D,Assignment,2,3,0,1,1,0,1,0,0,1,1,[]
93-3-2595-1,93-3-2596-2,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
93-3-2595-1,93-3-2596-3,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
93-3-2595-1,93-3-2596-4,B,if,1,5,1,0,1,0,0,0,0,1,1,[2597]
93-3-2596-4,93-3-2597-1,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
93-3-2595-1,93-3-2596-5,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
