Parent,uniCode,Tag,Name,num_childs,SizeLOC,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_Code_Blocks
Root,89-0-0-0,C,backend.commands.aggregatecmds.c,5,289,4,61,14,30,31,0,0,14,14,"[2275, 2284, 2287, 2289]"
89-0-0-0,89-1-0-0,F,DefineAggregate,16,156,1,32,3,17,15,0,0,3,3,[2275]
89-1-0-0,89-1-2275-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-0-0,89-1-2275-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-0-0,89-1-2275-3,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-0-0,89-1-2275-4,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-0-0,89-1-2275-5,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-0-0,89-1-2275-6,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-0-0,89-1-2275-7,D,Assignment,3,1,0,3,0,2,1,0,0,0,0,[]
89-1-0-0,89-1-2275-8,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-0-0,89-1-2275-9,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
89-1-0-0,89-1-2275-10,L,for/while,2,32,1,2,0,1,1,0,0,0,0,[2276]
89-1-2275-10,89-1-2276-1,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
89-1-2275-10,89-1-2276-2,B,if-else/switch,0,23,0,0,0,0,0,0,0,0,0,[]
89-1-0-0,89-1-2275-11,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
89-1-0-0,89-1-2275-12,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
89-1-0-0,89-1-2275-13,B,if-else/switch,7,48,2,10,1,5,5,0,0,1,1,"[2277, 2280]"
89-1-2275-13,89-1-2277-1,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
89-1-2275-13,89-1-2277-2,B,if-else/switch,5,11,2,4,1,1,3,0,0,1,1,"[2278, 2279]"
89-1-2277-2,89-1-2278-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-2277-2,89-1-2278-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-2277-2,89-1-2279-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-2277-2,89-1-2279-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-2277-2,89-1-2279-3,D,Assignment,2,1,0,2,1,1,1,0,0,1,1,[]
89-1-2275-13,89-1-2280-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-2275-13,89-1-2280-2,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
89-1-2275-13,89-1-2280-3,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
89-1-2275-13,89-1-2280-4,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
89-1-2275-13,89-1-2280-5,L,for/while,2,6,1,5,1,3,2,0,0,1,1,[2281]
89-1-2280-5,89-1-2281-1,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
89-1-2280-5,89-1-2281-2,D,Assignment,3,1,0,3,1,2,1,0,0,1,1,[]
89-1-0-0,89-1-2275-14,D,Assignment,2,1,0,2,1,1,1,0,0,1,1,[]
89-1-0-0,89-1-2275-15,B,if,1,11,1,0,0,0,0,0,0,0,0,[2282]
89-1-2275-15,89-1-2282-1,B,if-else/switch,0,7,0,0,0,0,0,0,0,0,0,[]
89-1-0-0,89-1-2275-16,D,Assignment,1,9,0,8,1,8,0,0,0,1,1,[]
89-0-0-0,89-2-0-0,F,RemoveAggregate,12,45,1,16,5,8,8,0,0,5,5,[2284]
89-2-0-0,89-2-2284-1,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
89-2-0-0,89-2-2284-2,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
89-2-0-0,89-2-2284-3,D,Assignment,2,1,0,4,1,3,1,0,0,1,1,[]
89-2-0-0,89-2-2284-4,B,if,1,9,1,1,1,0,1,0,0,1,1,[2285]
89-2-2284-4,89-2-2285-1,D,Assignment,2,4,0,1,1,0,1,0,0,1,1,[]
89-2-0-0,89-2-2284-5,D,Assignment,2,3,0,1,1,0,1,0,0,1,1,[]
89-2-0-0,89-2-2284-6,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
89-2-0-0,89-2-2284-7,B,if,0,5,0,0,0,0,0,0,0,0,0,[]
89-2-0-0,89-2-2284-8,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
89-2-0-0,89-2-2284-9,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-2-0-0,89-2-2284-10,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
89-2-0-0,89-2-2284-11,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-2-0-0,89-2-2284-12,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
89-0-0-0,89-3-0-0,F,RenameAggregate,13,53,1,12,5,5,7,0,0,5,5,[2287]
89-3-0-0,89-3-2287-1,D,Assignment,2,1,0,1,1,0,1,0,0,1,1,[]
89-3-0-0,89-3-2287-2,D,Assignment,2,1,0,1,1,0,1,0,0,1,1,[]
89-3-0-0,89-3-2287-3,D,Assignment,2,3,0,1,1,0,1,0,0,1,1,[]
89-3-0-0,89-3-2287-4,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
89-3-0-0,89-3-2287-5,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
89-3-0-0,89-3-2287-6,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
89-3-0-0,89-3-2287-7,B,if,0,12,0,0,0,0,0,0,0,0,0,[]
89-3-0-0,89-3-2287-8,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
89-3-0-0,89-3-2287-9,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-3-0-0,89-3-2287-10,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
89-3-0-0,89-3-2287-11,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
